"Año";"Periodo";"Todos";"Primero";"Segundo";"Tercero";"Cuarto y más"
"1975";"Año";"28,85";"25,25";"28,3";"31,53";"34,87"
"1976";"Año";"28,55";"24,94";"28,09";"31,34";"34,72"
"1977";"Año";"28,45";"24,85";"28,05";"31,32";"34,74"
"1978";"Año";"28,36";"24,8";"27,98";"31,33";"34,79"
"1979";"Año";"28,24";"24,78";"28,02";"31,35";"34,82"
"1980";"Año";"28,2";"25,06";"28,13";"31,26";"34,78"
"1981";"Año";"28,23";"25,25";"28,15";"31,29";"34,73"
"1982";"Año";"28,33";"25,43";"28,27";"31,37";"34,76"
"1983";"Año";"28,38";"25,52";"28,38";"31,45";"34,83"
"1984";"Año";"28,43";"25,66";"28,58";"31,63";"34,9"
"1985";"Año";"28,46";"25,79";"28,73";"31,83";"34,98"
"1986";"Año";"28,54";"25,9";"28,83";"31,94";"34,97"
"1987";"Año";"28,57";"26,14";"29,11";"32,09";"35,03"
"1988";"Año";"28,58";"26,25";"29,27";"32,22";"35,06"
"1989";"Año";"28,72";"26,56";"29,49";"32,3";"35,09"
"1990";"Año";"28,86";"26,81";"29,68";"32,4";"35,06"
"1991";"Año";"29,04";"27,16";"29,89";"32,58";"35,11"
"1992";"Año";"29,26";"27,5";"30,14";"32,66";"35,06"
"1993";"Año";"29,47";"27,81";"30,4";"32,71";"34,98"
"1994";"Año";"29,74";"28,12";"30,67";"32,88";"35"
"1995";"Año";"29,98";"28,41";"30,94";"32,97";"35"
"1996";"Año";"30,21";"28,47";"31,24";"33,33";"35,21"
"1997";"Año";"30,4";"28,7";"31,55";"33,49";"35,19"
"1998";"Año";"30,56";"28,89";"31,78";"33,65";"35,27"
"1999";"Año";"30,68";"28,99";"31,99";"33,82";"35,37"
"2000";"Año";"30,74";"29,09";"32,14";"33,83";"35,26"
"2001";"Año";"30,77";"29,11";"32,22";"33,88";"35,22"
"2002";"Año";"30,8";"29,18";"32,32";"33,83";"35,14"
"2003";"Año";"30,85";"29,25";"32,4";"33,84";"35,15"
"2004";"Año";"30,87";"29,29";"32,44";"33,83";"35,04"
"2005";"Año";"30,92";"29,34";"32,5";"33,93";"35,04"
"2006";"Año";"30,9";"29,32";"32,54";"33,78";"34,93"
"2007";"Año";"30,85";"29,45";"32,48";"33,67";"34,67"
"2008";"Año";"30,83";"29,3";"32,38";"33,49";"34,72"
"2009";"Año";"31,04";"29,6";"32,52";"33,5";"34,61"
"2010";"Año";"31,2";"29,82";"32,59";"33,43";"34,5"
"2011";"Año";"31,44";"30,11";"32,78";"33,61";"34,71"
"2012";"Año";"31,56";"30,25";"32,88";"33,65";"34,6"
"2013";"Año";"31,67";"30,42";"32,98";"33,6";"34,62"
"2014";"Año";"31,78";"30,55";"33,07";"33,57";"34,47"
"2015";"Año";"31,9";"30,69";"33,12";"33,66";"34,57"
"2016";"Año";"32";"30,79";"33,16";"33,64";"34,51"
"2017";"Año";"32,08";"30,89";"33,18";"33,63";"34,54"
"2018";"Año";"32,19";"31,01";"33,23";"33,73";"34,67"
"2019";"Año";"32,23";"31,08";"33,26";"33,69";"34,64"
"2020";"Año";"32,31";"31,19";"33,33";"33,74";"34,8"
"2021";"Año";"32,59";"31,54";"33,5";"33,95";"34,88"
"2022";"Año";"32,61";"31,57";"33,53";"33,92";"35,05"
;;;;;;
;;;;;;
"Métrica":"Todos"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Edad"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;
;;;;;;
"Métrica":"Primero"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Edad"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;
;;;;;;
"Métrica":"Segundo"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Edad"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;
;;;;;;
"Métrica":"Tercero"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Edad"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;
;;;;;;
"Métrica":"Cuarto y más"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Edad"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;
;;;;;;
"Url":"https://www.epdata.es/edad-media-maternidad-espana-orden-nacimiento-hijo/2dd7d70e-950a-4722-8789-23c91d1548fe"
"Titulo":"Edad media de maternidad en España según orden de nacimiento del hijo"
"Subtitulo":""
